category,week_of_year,mean_sales_units,category_mean_sales_units,seasonal_index
FOODS,1,120.86165622825331,114.95378311129802,1.051393464025758
FOODS,2,124.67112038970076,114.95378311129802,1.0845325574800304
FOODS,3,115.98135003479472,114.95378311129802,1.0089389569937146
FOODS,4,93.55694734400372,114.95378311129802,0.8138657537996994
FOODS,5,114.1795407098121,114.95378311129802,0.9932647505760093
FOODS,6,122.98619809788912,114.95378311129802,1.0698751686911785
FOODS,7,117.9122013453955,114.95378311129802,1.0257357187734581
FOODS,8,105.70517281373232,114.95378311129802,0.9195449680102201
FOODS,9,112.02261656228254,114.95378311129802,0.9745013476748517
FOODS,10,119.71247970308514,114.95378311129802,1.0413966070797318
FOODS,11,118.0581071677105,114.95378311129802,1.0270049751508123
FOODS,12,108.0256321039202,114.95378311129802,0.9397309873597636
FOODS,13,107.97970308513106,114.95378311129802,0.9393314440168127
FOODS,14,122.82138714915332,114.95378311129802,1.0684414538165996
FOODS,15,119.44142890280678,114.95378311129802,1.0390386959876199
FOODS,16,110.99350498724193,114.95378311129802,0.965548953528378
FOODS,17,103.96497332405474,114.95378311129802,0.904406714682857
FOODS,18,116.77615402458827,114.95378311129802,1.0158530747224372
FOODS,19,121.6949663651125,114.95378311129802,1.0586425524359444
FOODS,20,116.00475527719787,114.95378311129802,1.009142562666966
FOODS,21,100.8357689631176,114.95378311129802,0.8771853020747357
FOODS,22,107.65845511482254,114.95378311129802,0.9365368603013947
FOODS,23,124.38023660403618,114.95378311129802,1.0820021163080078
FOODS,24,123.75685455810716,114.95378311129802,1.0765792234805012
FOODS,25,113.19151009046625,114.95378311129802,0.9846697257529529
FOODS,26,109.22700069589422,114.95378311129802,0.9501818708318703
FOODS,27,127.61892832289492,114.95378311129802,1.1101759756730627
FOODS,28,126.5543493389005,114.95378311129802,1.1009150452784213
FOODS,29,116.22421711899791,114.95378311129802,1.011051693761743
FOODS,30,107.4437021572721,114.95378311129802,0.9346686924887485
FOODS,31,118.5080027835769,114.95378311129802,1.0309186838056272
FOODS,32,127.91677105080028,114.95378311129802,1.1127669537152294
FOODS,33,124.52331245650662,114.95378311129802,1.08324675435817
FOODS,34,113.21447459986082,114.95378311129802,0.9848694974244283
FOODS,35,111.87877522616563,114.95378311129802,0.9732500505689736
FOODS,36,127.43159359777314,114.95378311129802,1.1085463231287842
FOODS,37,126.36868475991649,114.95378311129802,1.0992999215829773
FOODS,38,113.70702853166318,114.95378311129802,0.9891542970932263
FOODS,39,110.54780793319415,114.95378311129802,0.9616717687852168
FOODS,40,123.1830201809325,114.95378311129802,1.0715873531684204
FOODS,41,125.62352122477384,114.95378311129802,1.0928176335279491
FOODS,42,113.34989561586639,114.95378311129802,0.9860475449174321
FOODS,43,104.20556715379263,114.95378311129802,0.9064996760733051
FOODS,44,111.91704940848992,114.95378311129802,0.9735830033547661
FOODS,45,120.13375086986778,114.95378311129802,1.0450613074086872
FOODS,46,115.0517745302714,114.95378311129802,1.0008524418798683
FOODS,47,103.04787752261656,114.95378311129802,0.8964287623561359
FOODS,48,100.34655532359082,114.95378311129802,0.8729295601036069
FOODS,49,119.26263048016702,114.95378311129802,1.0374833020040513
FOODS,50,116.81419624217119,114.95378311129802,1.016184009612558
FOODS,51,110.31092553931802,114.95378311129802,0.9596110937255123
FOODS,52,94.33249826026444,114.95378311129802,0.82061238618769
FOODS,53,115.73277661795407,114.95378311129802,1.006776579992168
HOBBIES,1,38.71256637168142,39.73168650919972,0.9743499401344988
HOBBIES,2,37.095929203539825,39.73168650919972,0.9336610766560439
HOBBIES,3,37.94725663716814,39.73168650919972,0.9550879907496903
HOBBIES,4,36.153982300884955,39.73168650919972,0.9099533766962961
HOBBIES,5,41.497935103244835,39.73168650919972,1.0444544077844808
HOBBIES,6,40.598230088495576,39.73168650919972,1.0218098866529417
HOBBIES,7,40.84513274336283,39.73168650919972,1.0280241372060885
