scenario_name,series_id,category,week_start,is_history,sales_units,price,promo_planned
stable,synthetic_series_001,foods,2022-01-03,True,191,7.5231,0
stable,synthetic_series_001,foods,2022-01-10,True,148,7.5231,0
stable,synthetic_series_001,foods,2022-01-17,True,99,7.1643,0
stable,synthetic_series_001,foods,2022-01-24,True,91,7.5231,0
stable,synthetic_series_001,foods,2022-01-31,True,115,7.5231,0
stable,synthetic_series_001,foods,2022-02-07,True,189,7.5231,1
stable,synthetic_series_001,foods,2022-02-14,True,120,7.5231,0
stable,synthetic_series_001,foods,2022-02-21,True,42,7.5231,0
stable,synthetic_series_001,foods,2022-02-28,True,84,7.5231,0
stable,synthetic_series_001,foods,2022-03-07,True,74,7.5231,0
stable,synthetic_series_001,foods,2022-03-14,True,137,7.5231,0
stable,synthetic_series_001,foods,2022-03-21,True,133,7.5231,0
stable,synthetic_series_001,foods,2022-03-28,True,126,7.5231,0
stable,synthetic_series_001,foods,2022-04-04,True,216,7.5231,0
stable,synthetic_series_001,foods,2022-04-11,True,127,7.5231,0
stable,synthetic_series_001,foods,2022-04-18,True,147,7.5231,0
stable,synthetic_series_001,foods,2022-04-25,True,129,6.6709,0
stable,synthetic_series_001,foods,2022-05-02,True,81,7.5231,0
stable,synthetic_series_001,foods,2022-05-09,True,260,7.5231,0
stable,synthetic_series_001,foods,2022-05-16,True,58,7.5231,0
