scenario_name,series_id,category,week_start,is_history,sales_units,price,promo_planned
noisy_stockout,synthetic_series_001,household,2025-12-01,True,266,13.481,0
noisy_stockout,synthetic_series_001,household,2025-12-08,True,225,13.481,0
noisy_stockout,synthetic_series_001,household,2025-12-15,True,342,13.481,0
noisy_stockout,synthetic_series_001,household,2025-12-22,True,245,13.481,0
noisy_stockout,synthetic_series_001,household,2025-12-29,False,130,13.481,0
noisy_stockout,synthetic_series_001,household,2026-01-05,False,20,13.481,0
noisy_stockout,synthetic_series_001,household,2026-01-12,False,396,12.9324,0
noisy_stockout,synthetic_series_001,household,2026-01-19,False,85,13.481,0
noisy_stockout,synthetic_series_001,household,2026-01-26,False,15,13.481,0
noisy_stockout,synthetic_series_001,household,2026-02-02,False,76,13.481,0
noisy_stockout,synthetic_series_001,household,2026-02-09,False,130,13.481,1
noisy_stockout,synthetic_series_001,household,2026-02-16,False,106,13.481,0
noisy_stockout,synthetic_series_002,foods,2025-12-01,True,231,5.1667,0
noisy_stockout,synthetic_series_002,foods,2025-12-08,True,57,5.6567,0
noisy_stockout,synthetic_series_002,foods,2025-12-15,True,322,5.6567,1
noisy_stockout,synthetic_series_002,foods,2025-12-22,True,165,5.6567,0
noisy_stockout,synthetic_series_002,foods,2025-12-29,False,201,5.6567,0
noisy_stockout,synthetic_series_002,foods,2026-01-05,False,76,5.6567,0
noisy_stockout,synthetic_series_002,foods,2026-01-12,False,128,5.3784,0
noisy_stockout,synthetic_series_002,foods,2026-01-19,False,28,5.6567,0
noisy_stockout,synthetic_series_002,foods,2026-01-26,False,278,4.937,0
noisy_stockout,synthetic_series_002,foods,2026-02-02,False,158,5.6567,0
noisy_stockout,synthetic_series_002,foods,2026-02-09,False,43,5.6567,0
noisy_stockout,synthetic_series_002,foods,2026-02-16,False,181,4.9559,0
noisy_stockout,synthetic_series_003,foods,2025-12-01,True,0,10.1596,0
noisy_stockout,synthetic_series_003,foods,2025-12-08,True,25,10.1596,1
noisy_stockout,synthetic_series_003,foods,2025-12-15,True,373,10.1596,1
noisy_stockout,synthetic_series_003,foods,2025-12-22,True,196,10.1596,0
noisy_stockout,synthetic_series_003,foods,2025-12-29,False,190,10.1596,0
noisy_stockout,synthetic_series_003,foods,2026-01-05,False,193,10.1596,0
noisy_stockout,synthetic_series_003,foods,2026-01-12,False,158,10.1596,0
noisy_stockout,synthetic_series_003,foods,2026-01-19,False,449,10.1596,0
noisy_stockout,synthetic_series_003,foods,2026-01-26,False,126,10.1596,1
noisy_stockout,synthetic_series_003,foods,2026-02-02,False,189,10.1596,0
noisy_stockout,synthetic_series_003,foods,2026-02-09,False,135,10.1596,0
noisy_stockout,synthetic_series_003,foods,2026-02-16,False,67,10.1596,0
