series_id,start_date,end_date,history_weeks,total_sales_units,mean_sales_units,median_sales_units,std_sales_units,zero_share,missing_share,outlier_share,category,segment_label,short_history,high_zero_share,variance,high_variance,expected_weeks,grid_coverage,weekly_grid_complete,coefficient_of_variation,trend_strength
FOODS_1_001,2011-01-24,2016-05-16,278,12404,44.618705035971225,44.0,21.7453859104641,0.06474820143884892,0.0,0.0035971223021582736,FOODS,medium_noise,False,False,472.8618083950106,False,278,1.0,True,0.48736030982820217,1.319483364974012
FOODS_1_002,2011-01-24,2016-05-16,278,7465,26.85251798561151,27.0,6.291753549249737,0.0,0.0,0.0035971223021582736,FOODS,stable,False,False,39.58616272449666,False,278,1.0,True,0.23430776780863055,0.003294631425846892
FOODS_1_003,2011-01-24,2016-05-16,278,13578,48.84172661870504,48.0,15.61762470209009,0.0,0.0,0.0,FOODS,medium_noise,False,False,243.9102013353346,False,278,1.0,True,0.31975988121822396,2.2157773048403295
FOODS_1_004,2011-01-24,2016-05-16,278,132251,475.7230215827338,510.0,364.0956653117196,0.2517985611510791,0.0,0.0,FOODS,medium_noise,False,False,132565.6534987837,False,278,1.0,True,0.7653522087292954,0.7313772681470453
FOODS_1_005,2011-01-24,2016-05-16,278,23419,84.2410071942446,91.0,58.989782450166174,0.1366906474820144,0.0,0.0,FOODS,medium_noise,False,False,3479.7944335179336,False,278,1.0,True,0.700250203729715,0.011275070093273524
FOODS_1_006,2011-01-24,2016-05-16,278,22629,81.39928057553956,77.0,26.268445376611293,0.0,0.0,0.007194244604316547,FOODS,medium_noise,False,False,690.0312225040112,False,278,1.0,True,0.32271102632453663,1.305329015331273
FOODS_1_008,2011-01-24,2016-05-16,278,4018,14.453237410071942,16.0,10.547748930685994,0.24100719424460432,0.0,0.0,FOODS,medium_noise,False,False,111.25500750478754,False,278,1.0,True,0.7297845203411415,1.7897946317936055
FOODS_1_009,2011-01-24,2016-05-16,278,7422,26.697841726618705,28.0,26.786164869861103,0.38848920863309355,0.0,0.0,FOODS,medium_noise,False,False,717.4986284353811,True,278,1.0,True,1.003308250312771,1.0501676531741153
FOODS_1_010,2011-01-24,2016-05-16,278,6239,22.442446043165468,22.0,13.308808563646082,0.05755395683453238,0.0,0.0,FOODS,medium_noise,False,False,177.1243853837793,False,278,1.0,True,0.5930195192648839,2.743598922902882
FOODS_1_011,2011-01-24,2016-05-16,278,10397,37.39928057553957,43.0,29.752376113085734,0.2302158273381295,0.0,0.0,FOODS,medium_noise,False,False,885.2038843745147,False,278,1.0,True,0.795533380728848,0.5472052633685411
