series_id,acf_lag_1,acf_lag_4,acf_lag_8,acf_lag_13,acf_lag_26,acf_lag_52
FOODS_1_001,0.7393372938594363,0.5847795442640614,0.33354260564045296,0.06635700913120017,0.14344085515762914,0.03869713481010317
FOODS_1_002,0.07355301847775444,0.09227050968115423,0.13352578628849615,0.030296412636958106,0.05432595530057784,0.0756535899490913
FOODS_1_003,0.5484553897641784,0.568069527158912,0.5449271467519939,0.45552537516507313,0.47579938673587857,0.3540586372952419
FOODS_1_004,0.831552610211625,0.637356747181079,0.5019983216011683,0.37447904244420943,0.11440120051041981,-0.023376706525608106
FOODS_1_005,0.8057707373258975,0.5100842948474815,0.26200074877627655,-0.11587103126515746,-0.33154855412328066,0.4916777436843962
FOODS_1_006,0.5140655024958437,0.3491863505572643,0.371190435450113,0.2554896230177259,0.20834631028221934,0.34377582270904333
FOODS_1_008,0.7597222329434324,0.6548296959937098,0.5398917818886916,0.37582044617224225,0.22259063425572406,-0.0830105684675254
FOODS_1_009,0.8588793997592125,0.6221470143424264,0.3469009720587855,0.07988248489492053,0.05389134142346108,-0.06970253289225038
FOODS_1_010,0.711021887767237,0.6458585712010673,0.6493503868937537,0.5974003745665547,0.5566825906739888,0.4884235831316392
FOODS_1_011,0.8264626253214523,0.4794443153346254,0.00396205639219888,-0.4255070033582093,0.2683844509645112,0.5691221371071333
FOODS_1_012,0.9571321451396253,0.9253469302779203,0.8868236684890533,0.8301392773729802,0.7418797936259685,0.7433449146475742
FOODS_1_013,0.7079407738905897,0.5539544217954537,0.44275841656360687,0.3158508894418855,0.1993389503795974,0.10017145542579722
FOODS_1_014,0.8730796503105428,0.8076706871914092,0.7482740607847137,0.7060618925961456,0.6456385674846273,0.46450112343927225
FOODS_1_015,0.6108328022182091,0.5232216482316158,0.15940662858634103,-0.02907508260411612,0.02358799105132431,-0.19538486223964413
FOODS_1_016,0.5565114926473301,0.524090898543034,0.4213141605190986,0.38056026931592474,0.19836580446538293,0.21986400652688337
FOODS_1_017,0.9041367553428942,0.7619127170732457,0.5905739568321946,0.47290629054470135,0.2705707524602031,-0.09579677078984891
FOODS_1_018,0.789282120785716,0.6893585226641894,0.6525445314484745,0.4978555956710305,0.1607950558682324,-0.14729590991779487
FOODS_1_019,0.9244256044178637,0.8616326758940478,0.7697939911240701,0.7009260082309795,0.47809488110084114,0.4150858426602596
FOODS_1_020,0.8542505014286758,0.6255061248381429,0.34599723840485475,0.033268761498588845,0.022207970517492376,0.24538149401417547
FOODS_1_021,0.9326898721267015,0.8797496495387264,0.87626126229114,0.8300412186754863,0.7062429702556707,0.4244186464849835
FOODS_1_022,0.8394248704633477,0.815126000938575,0.7726281982967452,0.726993220344055,0.58976424930471,0.4990254472927515
FOODS_1_023,0.9145317905546417,0.886656952223593,0.8713662162555006,0.8391850540758017,0.7201837134616211,0.4100494972350463
FOODS_1_024,0.5581487931387323,0.23662598177306246,0.206163547874117,0.14020577388077027,-0.05870840663164248,0.30671517670532816
FOODS_1_025,0.8650306774418157,0.8137649755541321,0.7421326901483464,0.662477488193057,0.4790088658415488,0.13959192095453202
FOODS_1_026,0.6921881974628942,0.4270677188355961,0.12083706326133291,-0.2754242212413454,-0.05581721581537241,0.29291104007784624
FOODS_1_027,0.8637206701545982,0.785431095776947,0.7417188314438513,0.5743532440115284,0.2967705955214255,0.1732845945513595
FOODS_1_028,0.8763852385693461,0.6083950017798975,0.2961137591446189,0.10308943922579485,0.25139469396785696,0.25793460061663437
FOODS_1_029,0.4928302549057874,0.43265594229233945,0.2433340699546197,0.2581450049965247,0.16120805378458092,0.11453049592010363
FOODS_1_030,0.6097091526287117,0.48356783669663245,0.1736159775928969,-0.0012627383155554568,-0.005022298152413232,-0.1601064235392244
FOODS_1_031,0.7925586078833055,0.6469619908596838,0.47275006337783887,0.21285024169112216,-0.2230868700035765,0.36152012525623556
FOODS_1_032,0.8707466857840067,0.7232907816007742,0.6443811065313861,0.5485086183762058,0.43620297012082654,0.08949968262938027
