scenario_name,horizon,WAPE,sMAPE,MAE,RMSE,Bias,MedianAE
noisy_stockout,1,0.10709238647411341,11.271216028491132,615.0315755208334,689.7153728810845,-615.0315755208334,708.4150390625
noisy_stockout,2,0.1331015979354452,13.341767025482852,767.8631184895834,1005.8824702933546,-605.22412109375,376.04052734375
noisy_stockout,3,0.07365157600177906,7.370589673574794,362.2430013020833,435.24830562519935,229.92333984375,198.4794921875
noisy_stockout,4,0.1121980264736546,11.110982056916336,564.9918619791666,646.1946637256202,77.41438802083333,731.3662109375
noisy_stockout,5,0.09297417212360533,9.143041399219555,469.4265950520833,489.4302574979806,86.25797526041667,559.76953125
noisy_stockout,6,0.11641549343116164,12.010885991237053,631.3600260416666,913.7713154923226,-540.1220703125,192.21240234375
noisy_stockout,7,0.13753669325044976,13.904723792559416,713.5403645833334,955.1495121459509,350.9192708333333,412.6494140625
noisy_stockout,8,0.0802115578138069,8.328753938382102,447.5270182291667,733.9855941561484,-399.2913411458333,43.560546875
seasonal_promo,1,0.10866032755366876,9.668084068745886,591.36572265625,833.6139739068561,348.3048502604167,307.92724609375
seasonal_promo,2,0.1086099649191926,11.636864645932805,674.8299153645834,780.2541698728687,-555.0369466145834,707.3916015625
seasonal_promo,3,0.061789623276920745,6.1470786451642425,373.1681315104167,495.14590027018835,-296.5245768229167,172.3134765625
seasonal_promo,4,0.10786959844296362,9.724840879199268,586.12744140625,726.8740663620848,586.12744140625,342.48486328125
seasonal_promo,5,0.07621913065696735,7.55608487516222,455.99365234375,565.226130270681,-455.99365234375,476.75341796875
seasonal_promo,6,0.1240020706684414,11.89909614321155,780.2210286458334,1058.3549530899584,-630.537109375,326.31884765625
seasonal_promo,7,0.05692489980442927,5.891868974750831,344.43359375,442.57047666606917,-203.72721354166666,211.0595703125
seasonal_promo,8,0.11933381342388769,11.94485047468975,682.15185546875,714.2705652518954,61.272623697916664,701.4912109375
stable,1,0.10627050653229651,11.044593320668406,594.4772135416666,614.8264763372514,-594.4772135416666,702.16259765625
stable,2,0.021094340208220156,2.2420214157680776,103.54508463541667,114.61397579521747,76.61181640625,109.984375
stable,3,0.05017970552380453,4.763520093268908,239.2568359375,281.4303928271064,208.71354166666666,266.16357421875
stable,4,0.05581703744700792,5.697658333941235,265.5216471354167,267.7737057780919,116.07698567708333,263.42041015625
stable,5,0.0427228042987744,4.364222758671516,213.79915364583334,250.93147427270654,-1.4915364583333333,289.42919921875
stable,6,0.031859520592522075,3.1575668248620694,157.56656901041666,196.58684608016955,-141.45849609375,138.35498046875
stable,7,0.042998217788171395,4.125610597133737,213.744140625,274.4207768604977,-100.08561197916667,170.48779296875
stable,8,0.09486687946207334,10.144577417987323,510.4786783854167,527.0999563804711,-510.4786783854167,551.52587890625
