scenario_name,category,week_start,is_history,sales_units,price,promo_planned,target_name,series_id
noisy_stockout,foods,2022-01-03,True,4428,9.826871875,0.125,sales_units,foods
noisy_stockout,foods,2022-01-10,True,4106,9.852396875,0.125,sales_units,foods
noisy_stockout,foods,2022-01-17,True,3647,9.759890625,0.21875,sales_units,foods
noisy_stockout,foods,2022-01-24,True,3402,9.76285625,0.3125,sales_units,foods
noisy_stockout,foods,2022-01-31,True,4659,9.80531875,0.0625,sales_units,foods
noisy_stockout,foods,2022-02-07,True,4042,9.710359375,0.125,sales_units,foods
noisy_stockout,foods,2022-02-14,True,3856,9.763821875,0.09375,sales_units,foods
noisy_stockout,foods,2022-02-21,True,4065,9.81505625,0.125,sales_units,foods
noisy_stockout,foods,2022-02-28,True,4653,9.79755,0.21875,sales_units,foods
noisy_stockout,foods,2022-03-07,True,4015,9.814603125,0.25,sales_units,foods
noisy_stockout,foods,2022-03-14,True,4674,9.85464375,0.15625,sales_units,foods
noisy_stockout,foods,2022-03-21,True,4217,9.81095625,0.125,sales_units,foods
noisy_stockout,foods,2022-03-28,True,4415,9.83341875,0.125,sales_units,foods
noisy_stockout,foods,2022-04-04,True,4607,9.90403125,0.1875,sales_units,foods
noisy_stockout,foods,2022-04-11,True,4841,9.772046875,0.125,sales_units,foods
noisy_stockout,foods,2022-04-18,True,3897,9.801746875,0.1875,sales_units,foods
noisy_stockout,foods,2022-04-25,True,4474,9.920815625,0.15625,sales_units,foods
noisy_stockout,foods,2022-05-02,True,4597,9.891378125,0.1875,sales_units,foods
noisy_stockout,foods,2022-05-09,True,4112,9.89355,0.03125,sales_units,foods
noisy_stockout,foods,2022-05-16,True,4321,9.725609375,0.0625,sales_units,foods
noisy_stockout,foods,2022-05-23,True,4570,9.773271875,0.15625,sales_units,foods
noisy_stockout,foods,2022-05-30,True,4586,9.928796875,0.15625,sales_units,foods
noisy_stockout,foods,2022-06-06,True,4504,9.818803125,0.1875,sales_units,foods
noisy_stockout,foods,2022-06-13,True,5060,9.910078125,0.125,sales_units,foods
noisy_stockout,foods,2022-06-20,True,4745,9.781628125,0.1875,sales_units,foods
noisy_stockout,foods,2022-06-27,True,5348,9.749934375,0.09375,sales_units,foods
noisy_stockout,foods,2022-07-04,True,5007,9.824725,0.25,sales_units,foods
noisy_stockout,foods,2022-07-11,True,5107,9.78899375,0.09375,sales_units,foods
noisy_stockout,foods,2022-07-18,True,3303,9.92186875,0.125,sales_units,foods
noisy_stockout,foods,2022-07-25,True,5132,9.6806875,0.15625,sales_units,foods
noisy_stockout,foods,2022-08-01,True,4095,9.763896875,0.125,sales_units,foods
noisy_stockout,foods,2022-08-08,True,4062,9.83835625,0.15625,sales_units,foods
noisy_stockout,foods,2022-08-15,True,4528,9.832290625,0.03125,sales_units,foods
noisy_stockout,foods,2022-08-22,True,3530,9.85501875,0.09375,sales_units,foods
noisy_stockout,foods,2022-08-29,True,5192,9.82193125,0.15625,sales_units,foods
noisy_stockout,foods,2022-09-05,True,4517,9.925015625,0.125,sales_units,foods
noisy_stockout,foods,2022-09-12,True,4270,9.893240625,0.1875,sales_units,foods
noisy_stockout,foods,2022-09-19,True,4169,9.7783375,0.15625,sales_units,foods
noisy_stockout,foods,2022-09-26,True,6299,9.909603125,0.03125,sales_units,foods
noisy_stockout,foods,2022-10-03,True,3698,9.866190625,0.125,sales_units,foods
noisy_stockout,foods,2022-10-10,True,4348,9.810203125,0.0625,sales_units,foods
noisy_stockout,foods,2022-10-17,True,4710,9.744634375,0.15625,sales_units,foods
noisy_stockout,foods,2022-10-24,True,4848,9.80519375,0.1875,sales_units,foods
noisy_stockout,foods,2022-10-31,True,4323,9.8709125,0.21875,sales_units,foods
noisy_stockout,foods,2022-11-07,True,4160,9.878396875,0.0625,sales_units,foods
noisy_stockout,foods,2022-11-14,True,4190,9.884496875,0.21875,sales_units,foods
noisy_stockout,foods,2022-11-21,True,4357,9.8510125,0.125,sales_units,foods
noisy_stockout,foods,2022-11-28,True,5550,9.804712499999999,0.125,sales_units,foods
noisy_stockout,foods,2022-12-05,True,4416,9.8857125,0.21875,sales_units,foods
noisy_stockout,foods,2022-12-12,True,3997,9.583678125,0.15625,sales_units,foods
noisy_stockout,foods,2022-12-19,True,5045,9.6439375,0.1875,sales_units,foods
noisy_stockout,foods,2022-12-26,True,4995,9.870178125,0.25,sales_units,foods
noisy_stockout,foods,2023-01-02,True,3069,9.72965625,0.03125,sales_units,foods
noisy_stockout,foods,2023-01-09,True,4525,9.83343125,0.0625,sales_units,foods
noisy_stockout,foods,2023-01-16,True,4714,9.859515625,0.21875,sales_units,foods
noisy_stockout,foods,2023-01-23,True,4860,9.848775,0.09375,sales_units,foods
noisy_stockout,foods,2023-01-30,True,4458,9.772625,0.1875,sales_units,foods
noisy_stockout,foods,2023-02-06,True,4761,9.788765625,0.09375,sales_units,foods
noisy_stockout,foods,2023-02-13,True,4134,9.7896625,0.21875,sales_units,foods
noisy_stockout,foods,2023-02-20,True,3877,9.919634375,0.0625,sales_units,foods
noisy_stockout,foods,2023-02-27,True,4881,9.790990625,0.15625,sales_units,foods
noisy_stockout,foods,2023-03-06,True,3942,9.88285625,0.03125,sales_units,foods
noisy_stockout,foods,2023-03-13,True,4187,9.688471875,0.03125,sales_units,foods
noisy_stockout,foods,2023-03-20,True,4301,9.9076625,0.1875,sales_units,foods
noisy_stockout,foods,2023-03-27,True,4115,9.78800625,0.1875,sales_units,foods
noisy_stockout,foods,2023-04-03,True,4903,9.792128125,0.09375,sales_units,foods
noisy_stockout,foods,2023-04-10,True,4539,9.799915625,0.125,sales_units,foods
noisy_stockout,foods,2023-04-17,True,5797,9.9389875,0.1875,sales_units,foods
noisy_stockout,foods,2023-04-24,True,4723,9.8355625,0.15625,sales_units,foods
